TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612745,Houston,Rockets,2014,82,56,26,0.683,2,1,9,8,15,5,N/A,3032,6832,0.444,933,2680,0.348,1525,2133,0.715,958,2624,3582,1820,1803,777,1366,407,8522,6
1610612745,Houston,Rockets,2015,82,41,41,0.5,8,4,1,4,15,5,N/A,3094,6847,0.452,878,2533,0.347,1671,2407,0.694,930,2601,3531,1821,1790,821,1307,430,8737,4
1610612745,Houston,Rockets,2016,82,55,27,0.671,3,2,6,5,15,5,N/A,3305,7152,0.462,1181,3306,0.357,1667,2177,0.766,892,2746,3638,2070,1634,670,1240,352,9458,2
1610612745,Houston,Rockets,2017,82,65,17,0.793,1,1,11,6,15,5,N/A,3174,6906,0.46,1256,3470,0.362,1609,2061,0.781,739,2825,3564,1767,1597,699,1135,392,9213,2
1610612745,Houston,Rockets,2018,82,53,29,0.646,4,1,6,5,15,5,N/A,3218,7163,0.449,1323,3721,0.356,1582,2001,0.791,836,2613,3449,1741,1803,700,1094,405,9341,11
1610612745,Houston,Rockets,2019,72,44,28,0.611,4,1,5,7,15,5,N/A,2936,6512,0.451,1126,3261,0.345,1484,1876,0.791,704,2484,3188,1557,1566,627,1057,371,8482,4
1610612745,Houston,Rockets,2020,72,17,55,0.236,15,5,0,0,15,5,N/A,2826,6372,0.444,992,2923,0.339,1189,1606,0.74,671,2396,3067,1699,1407,546,1060,361,7833,24
1610612745,Houston,Rockets,2021,82,20,62,0.244,15,5,0,0,15,5,N/A,3229,7083,0.456,1105,3170,0.349,1434,2010,0.713,786,2660,3446,1932,1692,600,1351,382,8997,19
1610612745,Houston,Rockets,2022,82,22,60,0.268,14,4,0,0,15,5,N/A,3329,7287,0.457,856,2619,0.327,1567,2078,0.754,1100,2695,3795,1835,1679,600,1332,374,9081,28
1610612746,Los Angeles,Clippers,2013,82,57,25,0.695,3,1,6,7,15,5,N/A,3208,6761,0.474,693,1966,0.352,1741,2384,0.73,858,2668,3526,2016,1767,703,1136,397,8850,1
1610612746,Los Angeles,Clippers,2014,82,56,26,0.683,3,2,7,7,15,5,N/A,3228,6830,0.473,827,2202,0.376,1468,2067,0.71,784,2711,3495,2031,1749,640,1012,409,8751,2
1610612746,LA,Clippers,2015,82,53,29,0.646,4,2,2,4,15,5,N/A,3141,6759,0.465,797,2190,0.364,1490,2152,0.692,721,2727,3448,1873,1746,709,1063,460,8569,7
1610612746,LA,Clippers,2016,82,51,31,0.622,4,2,3,4,15,5,N/A,3242,6820,0.475,841,2245,0.375,1586,2128,0.745,738,2790,3528,1848,1626,612,1062,347,8911,6
